OrderID,CustomerID,OrderDate,ProductName,Category,TransactionAmount
10000,341,2024-02-01 12:13,Yogurt,Dairy,7.61
10000,341,2024-02-01 12:13,Tea,Beverages,3.27
10000,341,2024-02-01 12:13,Chips,Snacks,14.2
10001,598,2024-05-11 01:11,Apples,Produce,4.12
10001,598,2024-05-11 01:11,Bananas,Produce,4.86
10002,476,2024-10-15 11:35,Wine,Alcohol,13.67
10002,476,2024-10-15 11:35,Milk,Dairy,21.2
10003,899,2024-03-17 13:45,Apples,Produce,19.63
10004,878,2024-04-07 06:01,Milk,Dairy,11.13
10005,141,2024-05-02 15:42,Cereal,Breakfast,12.49
10005,141,2024-05-02 15:42,Apples,Produce,17.01
10006,334,2024-06-21 06:03,Bananas,Produce,23.08
10006,334,2024-06-21 06:03,Soda,Beverages,16.52
10007,501,2024-04-26 14:00,Soda,Beverages,18.69
10007,501,2024-04-26 14:00,Eggs,Dairy,19.41
10008,507,2024-09-16 20:25,Rice,Pantry,15.52
10008,507,2024-09-16 20:25,Chips,Snacks,22.86
10008,507,2024-09-16 20:25,Bread,Bakery,22.49
10008,507,2024-09-16 20:25,Sugar,Pantry,22.97
10009,235,2024-12-31 21:07,Tea,Beverages,20.62
10009,235,2024-12-31 21:07,Wine,Alcohol,18.25
10010,506,2024-12-21 10:52,Rice,Pantry,3.69
10010,506,2024-12-21 10:52,Coffee,Beverages,22.76
10010,506,2024-12-21 10:52,Apples,Produce,22.55
10011,361,2024-04-11 16:57,Rice,Pantry,11.85
10011,361,2024-04-11 16:57,Apples,Produce,19.17
10011,361,2024-04-11 16:57,Chicken,Meat,18.61
10012,452,2024-12-11 22:45,Bread,Bakery,8.93
10012,452,2024-12-11 22:45,Butter,Dairy,7.47
10013,998,2024-05-25 15:31,Yogurt,Dairy,12.16
10013,998,2024-05-25 15:31,Bread,Bakery,11.49
10014,948,2024-04-07 01:19,Wine,Alcohol,13.71
10014,948,2024-04-07 01:19,Pasta,Pantry,7.68
10015,487,2024-02-12 15:49,Diapers,Baby,10.21
10015,487,2024-02-12 15:49,Beer,Alcohol,22.9
10016,419,2024-09-29 19:15,Beer,Alcohol,10.62
10016,419,2024-09-29 19:15,Chips,Snacks,12.65
10017,667,2024-06-25 13:28,Wine,Alcohol,16.21
10017,667,2024-06-25 13:28,Pasta,Pantry,8.99
10017,667,2024-06-25 13:28,Tea,Beverages,5.87
10017,667,2024-06-25 13:28,Coffee,Beverages,19.44
10018,889,2024-05-07 11:53,Tea,Beverages,24.63
10018,889,2024-05-07 11:53,Pasta,Pantry,7.93
10019,562,2024-07-31 22:35,Soda,Beverages,18.64
10019,562,2024-07-31 22:35,Chicken,Meat,8.75
10020,819,2024-11-23 13:12,Diapers,Baby,13.17
10021,828,2024-06-08 02:44,Sugar,Pantry,22.83
10021,828,2024-06-08 02:44,Chicken,Meat,20.58
10021,828,2024-06-08 02:44,Soda,Beverages,3.14
10021,828,2024-06-08 02:44,Tea,Beverages,15.59
10022,569,2024-03-21 21:17,Soda,Beverages,8.68
10022,569,2024-03-21 21:17,Beer,Alcohol,22.95
10022,569,2024-03-21 21:17,Rice,Pantry,10.21
10022,569,2024-03-21 21:17,Milk,Dairy,4.64
10023,493,2024-07-25 13:51,Rice,Pantry,13.73
10023,493,2024-07-25 13:51,Coffee,Beverages,8.76
10023,493,2024-07-25 13:51,Eggs,Dairy,18.78
10024,266,2024-11-08 09:18,Soda,Beverages,23.48
10024,266,2024-11-08 09:18,Tea,Beverages,10.65
10025,556,2024-02-10 01:43,Sugar,Pantry,10.39
10025,556,2024-02-10 01:43,Soda,Beverages,5.2
10026,907,2024-09-13 01:50,Chips,Snacks,12.36
10026,907,2024-09-13 01:50,Pasta,Pantry,15.89
10027,270,2024-10-27 16:52,Tomato Sauce,Pantry,5.35
10027,270,2024-10-27 16:52,Wine,Alcohol,13.57
10027,270,2024-10-27 16:52,Beer,Alcohol,7.66
